51300022938,dcd,77,111
51300055859,cdc,257,24
51300069044,eaa,171,206
51300117556,eda,149,144
51300123552,gcd,88,169
51300123737,gbe,68,225
51300139903,ggb,293,6
51300258076,cae,155,113
51300261510,dab,180,204
51300295486,gcd,191,135
51300350069,afa,168,84
51300359709,ggg,57,250
51300378440,dad,173,128
51300383976,cff,48,250
51300402054,adf,28,139
51300428505,ggf,38,294
51300473685,ffd,297,58
51300483467,dac,188,38
51300537946,gca,134,229
51300549732,ecb,163,280
51300553234,dge,118,225
51300555258,cgg,117,203
51300634925,ggf,160,252
51300657678,cfd,197,187
51300676822,edb,193,133
51300711100,dbe,156,85
51300729384,ffe,93,48
51300766183,aec,220,260
51300781161,gea,70,32
51300825592,edb,50,150
51300833375,fdc,105,193
51300851409,dfd,261,163
51300876879,aed,250,172
51300929179,edg,169,71
51300946125,afe,133,142
51300948451,cae,203,98
51300982753,ade,291,34
51300992554,dbd,124,44
51301022992,bfb,250,125
51301039923,dfd,42,193
51301055015,gbd,129,238
51301064646,eda,136,126
51301072741,dcd,238,93
51301074586,ggg,204,267
51301076446,dbf,228,144
51301077499,egf,60,111
51301116227,gaa,283,26
51301168028,bda,189,114
51301182610,gbd,71,268
51301185322,ddf,271,227
51301219135,fed,216,42
51301229430,eae,52,65
51301247267,gfg,263,33
51301277146,gdd,41,112
51301324049,cac,257,186
51301327158,bda,283,96
51301331180,dee,201,211
51301340319,faa,193,293
51301357104,cac,196,174
51301360918,dcd,253,77
51301364583,dgc,76,258
51301369212,fba,119,256
51301380225,geb,147,98
51301380582,dec,258,247
51301466902,ega,158,256
51301500320,ddg,156,63
51301525846,bdf,218,45
51301531732,cef,60,140
51301544537,bgd,69,250
51301551298,cfe,138,241
51301562271,deb,123,206
51301563088,fgb,49,240
51301570674,gfb,137,60
51301625893,acb,140,155
51301639059,ddb,257,187
51301702456,efa,14,243
51301721320,dbd,101,35
51301735453,gca,278,217
51301755614,dbe,278,70
51301791305,bcb,166,18
51301834654,ddc,129,52
51301862406,cdd,55,188
51301883382,ccg,233,170
51301906663,cfg,138,30
51301936239,dcd,135,91
51301970754,cbf,233,195
51301983099,gbe,43,252
51302007015,ede,244,252
51302053392,fgg,298,272
51302056123,bbc,271,163
51302065377,egb,27,195
51302073869,aea,247,154
51302095976,adg,119,155
51302103301,ccd,175,284
51302193566,bce,21,245
51302195275,fdb,4,103
51302199472,eae,51,68
51302211513,ecc,244,192
51302213401,ead,165,139
51302213744,ebf,25,26
51302219975,ffa,96,86
51302271140,fgc,158,104
51302313261,gda,203,203
51302315347,ecc,98,174
51302450858,bcf,208,176
51302484258,fcf,286,283
51302485816,cfc,232,69
51302500978,eae,250,80
51302535143,aec,55,257
51302543142,efa,100,264
51302567085,gbb,177,115
51302592555,fcb,142,212
51302595852,def,48,152
51302602665,ged,37,298
51302632030,caf,289,153
51302636761,dbf,209,129
51302642668,agf,24,258
51302651124,cde,103,239
51302676703,ebb,190,122
51302690441,beb,48,177
51302694049,daf,18,271
51302718037,afc,88,262
51302730119,fef,110,16
51302768047,bae,238,187
51302769681,ecf,85,174
51302827333,gbg,237,146
51302833208,agg,297,242
51302863249,dcf,297,184
51302866829,aad,23,154
51302878801,gcg,87,110
51302889929,bdd,82,168
51302893453,dfd,44,212
51302897200,agg,231,215
51302909306,daf,93,227
51302915409,bea,94,186
51302967796,eef,149,296
51302979595,afa,27,83
51302991447,ddd,188,269
51303025524,edg,100,56
51303046356,ddd,132,247
51303075226,acb,44,170
51303099500,dgf,57,160
51303120059,cbe,153,14
51303157210,aeg,22,267
51303158196,bbb,88,232
51303165732,ecc,177,139
51303178220,bff,267,160
51303188934,cbe,49,16
51303217438,gca,295,258
51303225413,age,72,55
51303227742,ffb,243,83
51303232498,bgg,189,7
51303249483,fdc,69,227
51303256942,edc,193,138
51303260156,fde,86,60
51303320317,beb,233,189
51303363343,bbd,193,211
51303368787,bdf,90,36
51303374070,abd,210,264
51303396397,bbg,289,50
51303401065,cdb,101,215
51303408040,fbe,262,8
51303423839,eff,29,215
51303444501,ecc,275,118
51303446812,ece,104,124
51303473230,dcd,77,92
51303487178,cdd,75,154
51303526627,aae,254,93
51303537100,bcg,180,147
51303557784,eeb,47,105
51303579437,aea,94,174
51303594510,fed,14,34
51303607528,ece,149,141
51303608487,bea,35,180
51303632266,aab,148,59
51303635487,bee,266,160
51303665773,dbf,149,150
51303718310,aac,20,187
51303719926,cdf,253,208
51303736802,bed,202,295
51303743584,adb,45,119
51303758041,fdg,194,57
51303763664,gfg,259,28
51303769282,bgc,226,70
51303774316,cag,261,130
51303785336,ege,144,151
51303818384,gcg,32,115
51303832752,fba,278,263
51303860310,dad,240,115
51303874064,abg,16,87
51303876584,gdd,119,104
51303887561,dce,115,259
51303906397,gbc,72,81
51303912588,ffa,260,100
51303932527,dad,148,94
51303980062,gdg,132,137
51304010143,cfb,27,150
51304025582,fad,22,125
51304026381,ecc,229,135
51304057080,daa,284,241
51304066343,cfd,166,218
51304084737,ecb,168,226
51304086003,adf,171,123
51304092512,gdd,246,105
51304163047,aga,278,145
51304164484,acc,56,221
51304168336,dbb,273,206
51304179973,dee,8,244
51304192132,cgg,219,231
51304211296,fgg,243,274
51304216861,fdd,263,239
51304219705,gfa,57,265
51304243489,cac,210,189
51304253546,bce,224,276
51304269861,eaa,98,206
51304285923,ccg,147,144
51304294482,eda,298,110
51304384411,adb,276,96
51304402828,cdb,115,227
51304403704,def,105,161
